,Skrot,Nazwa,Druga,Sektor
86,CERAMIKA-NOWA-GALA,CERAMIKA NOWA GALA SPÓŁKA AKCYJNA,CNG (NOWAGALA),GPW: Przemysł materiałów budowlanych
87,CENTRUM-NOWOCZESNYCH-TECHNOLOGII,CENTRUM NOWOCZESNYCH TECHNOLOGII SPÓŁKA AKCYJNA,CNT,GPW: Budownictwo
88,COGNOR,COGNOR SPÓŁKA AKCYJNA,COG (COGNOR),GPW: Przemysł metalowy
89,CAPITAL-PARTNERS,CAPITAL PARTNERS SPÓŁKA AKCYJNA,CPA (CAPITAL),GPW: Finanse inne
90,CPD,CPD SPÓŁKA AKCYJNA,CPD (CELTIC),GPW: Deweloperzy
91,CAPITAL-PARK,CAPITAL PARK SPÓŁKA AKCYJNA,CPG (CPGROUP),GPW: Deweloperzy
92,COMPERIA-PL,COMPERIA.PL SPÓŁKA AKCYJNA,CPL (COMPERIA),GPW: Media
93,CYFROWY-POLSAT,CYFROWY POLSAT SPÓŁKA AKCYJNA,CPS (CYFRPLSAT),GPW: Telekomunikacja
94,CORMAY,PZ CORMAY SPÓŁKA AKCYJNA,CRM (CORMAY),GPW: Przemysł farmaceutyczny
95,CALATRAVA-CAPITAL,CALATRAVA CAPITAL SPÓŁKA AKCYJNA,CTC (CALATRAVA),GPW: Finanse inne
96,CUBE-ITG,CUBE.ITG SPÓŁKA AKCYJNA,CTG (CUBEITG),GPW: Informatyka
97,CTS,CITY SERVICE SE,CTS (CITYSERV),GPW: Usługi inne
98,CZERWONA-TOREBKA,CZERWONA TOREBKA SPÓŁKA AKCYJNA,CZT (CZTOREBKA),GPW: Deweloperzy
99,DAT,DATAWALK SPÓŁKA AKCYJNA,DAT (DATAWALK),GPW: Informatyka
100,DEBICA,FIRMA OPONIARSKA DĘBICA SPÓŁKA AKCYJNA,DBC (DEBICA),GPW: Przemysł motoryzacyjny
101,DECORA,DECORA SPÓŁKA AKCYJNA,DCR (DECORA),GPW: Przemysł materiałów budowlanych
102,DEKPOL,DEKPOL SPÓŁKA AKCYJNA,DEK (DEKPOL),GPW: Budownictwo
103,DELKO,DELKO SPÓŁKA AKCYJNA,DEL (DELKO),GPW: Handel hurtowy
104,DGA,DGA SPÓŁKA AKCYJNA,DGA,GPW: Usługi inne
105,DNP,DINO POLSKA SPÓŁKA AKCYJNA,DNP (DINOPL),GPW: Handel detaliczny
106,DOM-DEVELOPMENT,DOM DEVELOPMENT SPÓŁKA AKCYJNA,DOM (DOMDEV),GPW: Deweloperzy
107,DROZAPOL-PROFIL,DROZAPOL-PROFIL SPÓŁKA AKCYJNA,DPL (DROZAPOL),GPW: Handel hurtowy
108,DREWEX,DREWEX SPÓŁKA AKCYJNA,DRE (DREWEX),GPW: Przemysł drzewny
109,DROP,DROP SPÓŁKA AKCYJNA,DRP (DROP),GPW: Usługi inne
110,ESOTIQ-HENDERSON,ESOTIQ &amp;amp; HENDERSON SPÓŁKA AKCYJNA,EAH (ESOTIQ),GPW: Handel detaliczny
111,EAT,AMREST HOLDINGS SE,EAT (AMREST),GPW: Hotele i restauracje
112,ECHO-INVESTMENT,ECHO INVESTMENT SPÓŁKA AKCYJNA,ECH (ECHO),GPW: Deweloperzy
113,ED-INVEST,ED INVEST SPÓŁKA AKCYJNA,EDI (EDINVEST),GPW: Deweloperzy
114,EKO-EXPORT,EKO EXPORT SPÓŁKA AKCYJNA,EEX (EKOEXPORT),GPW: Przemysł inne
115,EFEKT,KORPORACJA GOSPODARCZA EFEKT SPÓŁKA AKCYJNA,EFK (EFEKT),GPW: Usługi inne
116,ERGIS-EUROFILMS,ERGIS SPÓŁKA AKCYJNA,EGS (ERGIS),GPW: Przemysł tworzyw sztucznych
117,EUROHOLD-BULGARIA,EUROHOLD BULGARIA AD,EHG (EUROHOLD),GPW: Finanse inne
