,Skrot,Sektor
372,SARE,GPW: Informatyka
373,SCO-PAK,GPW: Usługi inne
374,SEKO,GPW: Przemysł spożywczy
375,SELENA-FM,GPW: Przemysł materiałów budowlanych
376,SEN,GPW: Przemysł paliwowy
377,SESCOM,GPW: Usługi inne
378,SETANTA-FINANCE,GPW: Finanse inne
379,AS-SILVANO-FASHION,GPW: Handel detaliczny
380,SFINKS,GPW: Hotele i restauracje
381,SYGNITY,GPW: Informatyka
382,SADOVAYA,GPW: Przemysł surowcowy
383,SOHO-DEVELOPMENT,GPW: Deweloperzy
384,STARHEDGE,GPW: Finanse inne
385,SNIEZKA,GPW: Przemysł materiałów budowlanych
386,SKARBIEC-HOLDING,GPW: Rynek kapitałowy
387,SKYLINE-INVESTMENT,GPW: Finanse inne
388,SKOTAN,GPW: Przemysł lekki
389,SELVITA,GPW: Przemysł farmaceutyczny
390,SLZ,GPW: Handel detaliczny
391,SIMPLE,GPW: Informatyka
392,STOMIL-SANOK,GPW: Przemysł motoryzacyjny
393,SYNEKTIK,GPW: Przemysł farmaceutyczny
394,SANWIL-HOLDING,GPW: Przemysł lekki
395,SUNEX,GPW: Przemysł elektromaszynowy
396,SOLAR-COMPANY,GPW: Handel detaliczny
397,SONEL,GPW: Przemysł elektromaszynowy
398,SOPHARMA,GPW: Przemysł farmaceutyczny
399,SPL,GPW: Banki
400,STALPROFIL,GPW: Handel hurtowy
401,STELMET,GPW: Przemysł drzewny
402,STALPRODUKT,GPW: Przemysł metalowy
403,STALEXPORT-AUTOSTRADY,GPW: Usługi inne
404,SUWARY,GPW: Przemysł tworzyw sztucznych
405,SVRS,GPW: Informatyka
406,SWISSMED-CENTRUM-ZDROWIA,GPW: Usługi inne
407,SECO-WARWICK,GPW: Przemysł elektromaszynowy
408,TARCZYNSKI,GPW: Przemysł spożywczy
409,TBL,GPW: Informatyka
410,TEN,GPW: Informatyka
411,TIM,GPW: Handel hurtowy
412,TALEX,GPW: Informatyka
413,TATRY-MOUNTAIN-RESORTS,GPW: Hotele i restauracje
414,TNX,GPW: Ubezpieczenia
415,TOYA,GPW: Handel hurtowy
416,TORPOL,GPW: Budownictwo
417,TOWERINV,GPW: Deweloperzy
418,TAURON,GPW: Energetyka
419,TRITON-DEVELOPMENT,GPW: Deweloperzy
420,TRAKCJA,GPW: Budownictwo
421,TRANS-POLONIA,GPW: Usługi inne
422,TERMO-REX,GPW: Przemysł metalowy
423,TESGAS,GPW: Budownictwo
424,TXM,GPW: Handel detaliczny
425,UNIMA-2000,GPW: Informatyka
426,UNICREDIT,GPW: Banki
427,ULMA-CONSTRUCCION,GPW: Przemysł materiałów budowlanych
428,UNIBEP,GPW: Budownictwo
429,UNIMOT-GAZ,GPW: Handel hurtowy
430,URSUS,GPW: Przemysł elektromaszynowy
431,VIGO-SYSTEM,GPW: Przemysł elektromaszynowy
432,VINDEXUS,GPW: Finanse inne
433,VOTUM,GPW: Finanse inne
434,VOXEL,GPW: Usługi inne
435,VISTULA,GPW: Handel detaliczny
436,VANTAGE-DEVELOPMENT,GPW: Deweloperzy
437,VENTURE-INCUBATOR,GPW: Finanse inne
438,VISTAL,GPW: Budownictwo
439,VIVID-GAMES,GPW: Informatyka
440,WASKO,GPW: Informatyka
441,WADEX,GPW: Przemysł metalowy
442,WIKANA,GPW: Deweloperzy
443,WIS,GPW: Finanse inne
444,WILBO,GPW: Przemysł spożywczy
445,WIELTON,GPW: Przemysł motoryzacyjny
446,WOJAS,GPW: Handel detaliczny
447,WIRTUALNA-POLSKA,GPW: Media
448,WORK-SERVICE,GPW: Usługi inne
449,WTN,GPW: Handel detaliczny
450,WAWEL,GPW: Przemysł spożywczy
451,WARIMPEX,GPW: Deweloperzy
452,XTB,GPW: Rynek kapitałowy
453,XTP,GPW: Informatyka
454,YOLO,GPW: Finanse inne
455,ZAKLADY-AZOTOWE-PULAWY,GPW: Przemysł chemiczny
456,ZEPAK,GPW: Energetyka
457,ZAMET-INDUSTRY,GPW: Przemysł elektromaszynowy
458,ZREMB-CHOJNICE,GPW: Przemysł elektromaszynowy
459,ZASTAL,GPW: Usługi inne
460,ZUE,GPW: Budownictwo
461,STAPORKOW,GPW: Przemysł metalowy
462,ZYWIEC,GPW: Przemysł spożywczy
463,01CYBERATON,NewConnect: Handel
464,2C-PARTNERS,NewConnect: Nieruchomości
465,2INTELLECT-COM,NewConnect: Informatyka
466,4MOBILITY,NewConnect: Usługi inne
467,4MS,NewConnect: Handel
468,5TH-AVENUE-HOLDING,NewConnect: Nieruchomości
469,7FT,NewConnect: Handel
470,7LV,NewConnect: Informatyka
471,ABAK,NewConnect: Usługi finansowe
472,ACARTUS,NewConnect: Usługi finansowe
473,ACK,NewConnect: Budownictwo
474,ACR,NewConnect: Informatyka
475,AERFINANCE-PLC,NewConnect: Inwestycje
476,AKCEPT-FINANCE,NewConnect: Usługi finansowe
477,AFORTI-HOLDING,NewConnect: Usługi finansowe
478,AGROLIGA-GROUP,NewConnect: Usługi inne
479,AGROMEP,NewConnect: Handel
480,ABS-INVESTMENT,NewConnect: Usługi finansowe
481,AITON-CALDWELL,NewConnect: Telekomunikacja
482,ALDA,NewConnect: Technologie
483,ALEJASAMOCHODOWA-PL,NewConnect: e-handel
484,ALUMAST,NewConnect: Budownictwo
485,ANALIZY-ONLINE,NewConnect: Usługi inne
486,APANET,NewConnect: Technologie
487,APC,NewConnect: Inwestycje
488,APS,NewConnect: Technologie
489,AQUA,NewConnect: Budownictwo
490,AQT,NewConnect: Recykling
491,AQUA-BIELSKO-BIALA,NewConnect: Usługi inne
492,ARAMUS,NewConnect: Nieruchomości
493,ARE,NewConnect: Technologie
494,AGENCJA-ROZWOJU-INNOWACJI,NewConnect: Usługi inne
495,ARK,NewConnect: Usługi inne
496,ARRINERA,NewConnect: Usługi inne
497,APIS,NewConnect: Budownictwo
498,AUTO-SPA,NewConnect: Usługi inne
499,ASTRO,NewConnect: Media
500,ASSETUS,NewConnect: Usługi inne
501,ATC-CARGO,NewConnect: Usługi inne
502,ATON-HT,NewConnect: Recykling
503,AUX,NewConnect: Usługi finansowe
504,ADVERTIGO,NewConnect: Media
505,AZTEC-INTERNATIONAL,NewConnect: Budownictwo
506,B24,NewConnect: Informatyka
507,BBA,NewConnect: Usługi inne
508,BROAD-GATE,NewConnect: Handel
509,BIOMASS-ENERGY-PROJECT,NewConnect: Eco-energia
510,BIOERG,NewConnect: Recykling
511,BIOFACTORY,NewConnect: Technologie
512,BIOGENED,NewConnect: Ochrona zdrowia
513,BINARY-HELIX,NewConnect: Technologie
514,BIO-PLANET,NewConnect: Handel
515,BIT,NewConnect: e-handel
516,BLOOBER-TEAM,NewConnect: Informatyka
517,BLIRT,NewConnect: Ochrona zdrowia
518,BALTICON,NewConnect: Usługi inne
519,BLUMERANG-INVESTORS,NewConnect: Inwestycje
520,BIOMAXIMA,NewConnect: Ochrona zdrowia
521,BOA,NewConnect: Usługi finansowe
522,BLACK-PEARL-CAPITAL,NewConnect: Inwestycje
523,BLACK-POINT,NewConnect: Recykling
524,BPX,NewConnect: Nieruchomości
525,BROWAR-GONTYNIEC,NewConnect: Handel
526,BORUTA,NewConnect: Technologie
527,BRAS,NewConnect: Nieruchomości
