,link,name,second
586,EPR,PRZEDSIĘBIORSTWO ROBÓT INSTALACYJNYCH EKOPARK SPÓŁKA AKCYJNA,EPR (EKOPARK)
587,ERNE,ERNE VENTURES SPÓŁKA AKCYJNA,ERN (ERNE)
588,EUROSYSTEM,EUROSYSTEM SPÓŁKA AKCYJNA,ERS
589,EASTSIDECAPITAL,EASTSIDECAPITAL SPÓŁKA AKCYJNA,ESC (EASTSIDE)
590,ESKIMOS,ESKIMOS SPÓŁKA AKCYJNA,ESK (ESKIMOS)
591,EURO-TAX-PL,EURO-TAX.PL SPÓŁKA AKCYJNA,ETX (EUROTAX)
592,EXAMOBILE,EXAMOBILE SPÓŁKA AKCYJNA,EXA (EXAMOBILE)
593,EXCELLENCE,EXCELLENCE SPÓŁKA AKCYJNA,EXC (EXCELLENC)
594,THE-FARM-51-GROUP,THE FARM 51 GROUP SPÓŁKA AKCYJNA,F51 (FARM51)
595,FACHOWCY-PL-VENTURES,FACHOWCY.PL VENTURES SPÓŁKA AKCYJNA,FAV (FACHOWCY)
596,FDG,FAT DOG GAMES SPÓŁKA AKCYJNA,FDG (FDGAMES)
597,FUNDUSZ-HIPOTECZNY-DOM,FUNDUSZ HIPOTECZNY DOM SPÓŁKA AKCYJNA,FHD (FHDOM)
598,FABRYKA-KONSTRUKCJI-DREWNIANYCH,FABRYKA KONSTRUKCJI DREWNIANYCH SPÓŁKA AKCYJNA,FKD (FABRYKAKD)
599,FLUID,FLUID SPÓŁKA AKCYJNA,FLD (FLUID)
600,FOREVER-ENTERTAINMENT,FOREVER ENTERTAINMENT SPÓŁKA AKCYJNA,FOR (FOREVEREN)
601,FORPOSTA,FORPOSTA SPÓŁKA AKCYJNA,FPO (FORPOSTA)
602,FTH,FINTECH SPÓŁKA AKCYJNA,FTH (FINTECH)
603,FTI,FTI PROFIT SPÓŁKA AKCYJNA,FTI (FTIPROFIT)
604,FITEN,FITEN SPÓŁKA AKCYJNA,FTN (FITEN)
605,GALVO,GALVO SPÓŁKA AKCYJNA,GAL (GALVO)
606,GRUPAEMM,GRUPA EMMERSON SPÓŁKA AKCYJNA,GEM (GRUPAEMM)
607,GENOMED,GENOMED SPÓŁKA AKCYJNA,GEN (GENOMED)
608,GKS-GIEKSA-KATOWICE,GKS GIEKSA KATOWICE SPÓŁKA AKCYJNA,GKS (GKSKAT)
609,GLG-PHARMA,GLG PHARMA SPÓŁKA AKCYJNA,GLG (GLGPHARMA)
610,GME,GREMI MEDIA SPÓŁKA AKCYJNA,GME (GRMEDIA)
611,G-ENERGY,G-ENERGY SPÓŁKA AKCYJNA,GNG (GENRG)
612,GOLAB,GOLAB SPÓŁKA AKCYJNA,GOL (GOLAB)
613,GOV,GOVENA LIGHTING SPÓŁKA AKCYJNA,GOV (GOVENA)
614,GPPI,GPPI SPÓŁKA AKCYJNA,GPP (GPPI)
615,GRUPA-RECYKL,GRUPA RECYKL SPÓŁKA AKCYJNA,GRC (GRUPAREC)
616,GRE,MVA GREEN ENERGY SPÓŁKA AKCYJNA,GRE (GREENENER)
617,GREMPCO,GREMPCO SPÓŁKA AKCYJNA,GRM (GREMPCO)
618,GO-TFI,GO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SPÓŁKA AKCYJNA,GTF (GOTFI)
619,GEOTREKK,GEOTREKK SPÓŁKA AKCYJNA,GTK (GEOTREKK)
620,GEO-TERM,GEO-TERM POLSKA SPÓŁKA AKCYJNA,GTP (GEOTERM)
621,GTS,GEOTRANS SPÓŁKA AKCYJNA,GTS (GEOTRANS)
622,GRUPA-TRINITY,GRUPA TRINITY SPÓŁKA AKCYJNA,GTY (GTRINITY)
623,GWARANT,GWARANT AGENCJA OCHRONY SPÓŁKA AKCYJNA,GWR (GWARANT)
624,HBG,HUCKLEBERRY GAMES SPÓŁKA AKCYJNA,HBG (HGAMES)
625,HEFAL-SERWIS,HEFAL SERWIS SPÓŁKA AKCYJNA,HEF (HEFAL)
626,HM-INWEST,HM INWEST SPÓŁKA AKCYJNA,HMI (HMINWEST)
627,HORTICO,HORTICO SPÓŁKA AKCYJNA,HOR (HORTICO)
628,HOTBLOK,HOTBLOK SPÓŁKA AKCYJNA,HOT (HOTBLOK)
629,HYDRAPRES,HYDRAPRES SPÓŁKA AKCYJNA,HPS (HYDRAPRES)
630,GRUPA-HRC,GRUPA HRC SPÓŁKA AKCYJNA,HRC (GRUPAHRC)
631,HRL,HORNIGOLD REIT SPÓŁKA AKCYJNA,HRL (HORNIGOLD)
632,HURTIMEX,HURTIMEX SPÓŁKA AKCYJNA,HRT (HURTIMEX)
633,IBC-POLSKA,IBC POLSKA F&amp;P SPÓŁKA AKCYJNA,IBC (IBCPOLSKA)
634,INCANA,INCANA SPÓŁKA AKCYJNA,ICA (INCANA)
635,INTERCAPITAL-PROPERTY-DEVELOPMENT,INTERCAPITAL PROPERTY DEVELOPMENT ADSIC,ICD (ICPD)
636,ICE,MEDINICE SPÓŁKA AKCYJNA,ICE (MEDINICE)
637,ICP-GROUP,ICP GROUP SPÓŁKA AKCYJNA,ICP (ICPGROUP)
638,IDH,IDH SPÓŁKA AKCYJNA,IDH
639,IFUN4ALL,IFUN4ALL SPÓŁKA AKCYJNA,IF4 (IFUN4ALL)
640,INFRA,INFRA SPÓŁKA AKCYJNA,IFA (INFRA)
641,INVESTMENT-FUND-MANAGERS,INVESTMENT FUND MANAGERS SPÓŁKA AKCYJNA,IFM
642,INNO-GENE,INNO-GENE SPÓŁKA AKCYJNA,IGN (INNOGENE)
643,IGORIA-TRADE,IGORIA TRADE SPÓŁKA AKCYJNA,IGT (IGORIA)
644,IMAGIS,IMAGIS SPÓŁKA AKCYJNA,IMG (IMAGIS)
645,INBOOK,INBOOK SPÓŁKA AKCYJNA,INB (INBOOK)
646,INVENTIONMED,INVENTIONMED SPÓŁKA AKCYJNA,INM (INVENTION)
647,INS,INDOS SPÓŁKA AKCYJNA,INS (INDOS)
648,NTERNITY-SPOLKA,INTERNITY SPÓŁKA AKCYJNA,INT (INTERNITY)
649,INWESTYCJE-PL,INWESTYCJE.PL SPÓŁKA AKCYJNA,INW (INWESTPL)
650,IPO-DORADZTWO-STRATEGICZNE,IPO DORADZTWO KAPITAŁOWE SPÓŁKA AKCYJNA,IOD (IPODS)
651,ISG,INSTYTUT SZKOLEŃ I ANALIZ GOSPODARCZYCH SPÓŁKA AKCYJNA,ISG (ISIAG)
652,INFOSCAN,INFOSCAN SPÓŁKA AKCYJNA,IST (INFOSCAN)
653,INTELIWISE,INTELIWISE SPÓŁKA AKCYJNA,ITL (INTELIWIS)
654,INTERNET-UNION,INTERNET UNION SPÓŁKA AKCYJNA,IUS (IU)
655,INVESTEKO,INVESTEKO SPÓŁKA AKCYJNA,IVE (INVESTEKO)
656,JJB,JUJUBEE SPÓŁKA AKCYJNA,JJB (JUJUBEE)
657,JR-INVEST,JR HOLDING SPÓŁKA AKCYJNA,JRH (JRHOLDING)
658,JWA,JWA SPÓŁKA AKCYJNA,JWA
659,KBJ,KBJ SPÓŁKA AKCYJNA,KBJ
660,KOFAMA,KOFAMA KOZLE SPÓŁKA AKCYJNA,KFM (KOFAMA)
661,KLEBA-INVEST,KLEBA INVEST SPÓŁKA AKCYJNA,KIN (KLEBAINV)
662,KK-HERBAL-POLAND,K&amp;K HERBAL POLAND SPÓŁKA AKCYJNA,KKH (KKHERBAL)
663,KLON,KLON SPÓŁKA AKCYJNA,KLN (KLON)
664,KANCELARIA-MEDIUS,KANCELARIA MEDIUS SPÓŁKA AKCYJNA,KME
665,KORBANK,KORBANK SPÓŁKA AKCYJNA,KOR (KORBANK)
666,KUPIEC,KUPIEC SPÓŁKA AKCYJNA,KPC (KUPIEC)
667,KPI,KANCELARIA PRAWNA - INKASO WEC SPÓŁKA AKCYJNA,KPI (KANCELWEC)
668,LANGLOO-COM-SPOLKA,LANGLOO.COM SPÓŁKA AKCYJNA,LAN (LANGLOO)
669,LOKATY-BUDOWLANE,LOKATY BUDOWLANE SPÓŁKA AKCYJNA,LBD (LOKATYBUD)
670,LETUS-CAPITAL,LETUS CAPITAL SPÓŁKA AKCYJNA,LET (LETUS)
671,LOGINTRAD,LOGINTRADE SPÓŁKA AKCYJNA,LGT (LGTRADE)
672,LKS,LK DESIGNER SHOPS SPÓŁKA AKCYJNA,LKS (LKDESIGN)
673,LAUREN-PESO,LAUREN PESO POLSKA SPÓŁKA AKCYJNA,LPS (LAURENPES)
674,LSH,MODULE TECHNOLOGIES SPÓŁKA AKCYJNA,LSH (LSTECHHOM)
675,CONCEPT-LIBERTY-GROUP,CONCEPT LIBERTY GROUP SPÓŁKA AKCYJNA,LTG (LIBERTY)
676,LUG,LUG SPÓŁKA AKCYJNA,LUG
677,LUKARDI,LUKARDI SPÓŁKA AKCYJNA,LUK (LUKARDI)
678,M4B,M4B SPÓŁKA AKCYJNA,M4B
679,MADKOM,MADKOM SPÓŁKA AKCYJNA,MAD (MADKOM)
680,MARSOFT,MARSOFT SPÓŁKA AKCYJNA,MAR (MARSOFT)
681,MAXIMUS,MAXIMUS SPÓŁKA AKCYJNA,MAX (MAXIMUS)
682,MBF-GROUP,MBF GROUP SPÓŁKA AKCYJNA,MBF (MBFGROUP)
683,MODERNCOM,MODERN COMMERCE SPÓŁKA AKCYJNA,MCE (MODERNCOM)
684,MEDAPP,MEDAPP SPÓŁKA AKCYJNA,MDA (MEDAPP)
685,MEDIAN-POLSKA,MEDIAN POLSKA SPÓŁKA AKCYJNA,MDN (MEDIANPOL)
686,MEDCAMP,MEDCAMP SPÓŁKA AKCYJNA,MDP (MEDCAMP)
687,MERIT-INVEST,MERIT INVEST SPÓŁKA AKCYJNA,MEI (MERIT)
688,MERA,MERA SPÓŁKA AKCYJNA,MER (MERA)
689,M-FOOD,M FOOD SPÓŁKA AKCYJNA,MFD (MFOOD)
690,MEGA-SONIC,MEGA SONIC SPÓŁKA AKCYJNA,MGA (MEGASONIC)
691,MGC,MED-GALICJA SPÓŁKA AKCYJNA,MGC (MEDGALIC)
692,MID,ARTS ALLIANCE GK SPÓŁKA AKCYJNA,MID (MIDVEN)
693,MAKOLAB,MAKOLAB SPÓŁKA AKCYJNA,MLB (MAKOLAB)
694,MILKPOL,MILKPOL SPÓŁKA AKCYJNA,MLP (MILKPOL)
695,MALKOWSKI-MARTECH,MAŁKOWSKI-MARTECH SPÓŁKA AKCYJNA,MMA (MALKOWSKI)
696,MM-CONFERENCES,MM CONFERENCES SPÓŁKA AKCYJNA,MMC (MMCPL)
697,MILESTONE,MILESTONE MEDICAL. INC.,MMD (MILESTONE)
698,MOBIMEDIA,MOBIMEDIA SOLUTION SPÓŁKA AKCYJNA,MMS (MOBIMEDIA)
699,MINERAL-MIDRANGE,MINERAL MIDRANGE SPÓŁKA AKCYJNA,MND (MINERAL)
700,MENNICA-SKARBOWA,MENNICA SKARBOWA SPÓŁKA AKCYJNA,MNS (MENNICASK)
701,MINOX,MINOX SPÓŁKA AKCYJNA,MNX (MINOX)
702,MODECOM,MODECOM SPÓŁKA AKCYJNA,MOD (MODECOM)
703,MODE,MODE SPÓŁKA AKCYJNA,MOE (MODE)
704,MOV,MOVIE GAMES,MOV (MOVIEGAMES)
705,MPAY,MPAY SPÓŁKA AKCYJNA,MPY (MPAY)
706,MAKORA,MAKORA KROŚNIEŃSKA HUTA SZKŁA SPÓŁKA AKCYJNA,MRA (MAKORA)
707,MRD,MEDARD SPÓŁKA AKCYJNA,MRD (MEDARD)
708,MRG,MERLIN GROUP SPÓŁKA AKCYJNA,MRG (MERLINGRP)
709,MR-HAMBURGER,MR HAMBURGER SPÓŁKA AKCYJNA,MRH (HAMBURGER)
710,MARKA,MARKA SPÓŁKA AKCYJNA,MRK (MARKA)
711,METROPOLIS,METROPOLIS SPÓŁKA AKCYJNA,MRS (METROPOLIS)
712,MOTORICUS,MOTORICUS SPÓŁKA AKCYJNA,MTR (MOTORICUS)
713,MTS,M-TRANS SPÓŁKA AKCYJNA,MTS (MTRANS)
714,MAXIPIZZA,MAXIPIZZA SPÓŁKA AKCYJNA,MXP (MAXIPIZZA)
715,NOWOCZESNA-FIRMA,NOWOCZESNA FIRMA SPÓŁKA AKCYJNA,NFP (NFPL)
716,NOVINA,NOVINA SPÓŁKA AKCYJNA,NOV (NOVINA)
717,NST,NESTMEDIC SPÓŁKA AKCYJNA,NST (NESTMEDIC)
718,NOTORIA-SERWIS,NOTORIA SERWIS SPÓŁKA AKCYJNA,NTS (NOTORIA)
719,NETWISE,NETWISE SPÓŁKA AKCYJNA,NTW (NETWISE)
720,NOVAVIS,NOVAVIS SPÓŁKA AKCYJNA,NVV (NOVAVIS)
721,NWAI-DOM-MAKLERSKI,NWAI DOM MAKLERSKI SPÓŁKA AKCYJNA,NWA (NWAI)
722,NXB,NEXTBIKE POLSKA SPÓŁKA AKCYJNA,NXB (NEXTBIKE)
723,OML,ONE MORE LEVEL SPÓŁKA AKCYJNA,OML (ONEMORE)
724,ONICO,ONICO SPÓŁKA AKCYJNA,ONC (ONICO)
725,OPTIZEN-LABS,OPTIZEN LABS SPÓŁKA AKCYJNA,OPT (OPTIZENLB)
726,ORGANIC-FARMA-ZDROWIA,ORGANIC FARMA ZDROWIA SPÓŁKA AKCYJNA,ORG (ORGANIC)
727,ORZEL,ORZEŁ SPÓŁKA AKCYJNA,ORL (ORZLOPONY)
728,ORPHEE,ORPHEE SA,ORP (ORPHEE)
729,OUTDOORZY,OUTDOORZY SPÓŁKA AKCYJNA,OUT (OUTDOORZY)
730,PRESENT24,PRESENT24 SPÓŁKA AKCYJNA,P24 (PRESENT24)
731,PAS,PASSUS SPÓŁKA AKCYJNA,PAS (PASSUS)
732,PREFABET,PRZEDSIĘBIORSTWO PRZEMYSŁU BETONÓW PREFABET - BIAŁE BŁOTA SPÓŁKA AKCYJNA,PBB (PREFABET)
733,PBT,PRIME BIT GAMES SPÓŁKA AKCYJNA,PBT (PBGAMES)
734,PHOTON,PHOTON ENERGY N.V.,PEN (PHOTON)
735,PATENT-FUND,PATENT FUND SPÓŁKA AKCYJNA,PFD (PATFUND)
736,PERMA-FIX-MEDICAL,PERMA-FIX MEDICAL SPÓŁKA AKCYJNA,PFM (PFMEDICAL)
737,PGP,POLSKA GRUPA PRZEMYSŁOWA POLONIT SPÓŁKA AKCYJNA,PGP (PGPPOLONI)
738,PHIWIERZY,PHI WIERZYTELNOŚCI SPÓŁKA AKCYJNA,PHI (PHIWIERZY)
739,PHARMENA,PHARMENA SPÓŁKA AKCYJNA,PHR (PHARMENA)
740,PIG,PLANET INNOVATION GROUP SPÓŁKA AKCYJNA,PIG (PLANETINN)
741,PIK,PIK SPÓŁKA AKCYJNA,PIK
742,PROPERTYF,PROPERTY LEASE FUND SPÓŁKA AKCYJNA,PLE (PROPERTYF)
743,PLG,PL GROUP SPÓŁKA AKCYJNA,PLG (PLGROUP)
744,PLATIGE-IMAGE,PLATIGE IMAGE SPÓŁKA AKCYJNA,PLI (PLATIGE)
745,POLMAN,POLMAN SPÓŁKA AKCYJNA,PLM (POLMAN)
746,POLMT,POLSKA MEAT SPÓŁKA AKCYJNA,PME (POLMT)
747,PMF,PREMIUM FUND SPÓŁKA AKCYJNA,PMF (PREMIUMF)
748,PRIME-MINERALS,PRIME MINERALS SPÓŁKA AKCYJNA,PMT (PRIME)
749,PNT,POINTPACK.PL SPÓŁKA AKCYJNA,PNT (POINTPACK)
750,PRO-LOG,PRO-LOG SPÓŁKA AKCYJNA,PRL (PROLOG)
751,PARTNER-NIERUCHOMOSCI,PARTNER-NIERUCHOMOŚCI SPÓŁKA AKCYJNA,PRN (PARTNER)
752,APN-PROMISE,A.P.N. PROMISE SPÓŁKA AKCYJNA,PRO (PROMISE)
753,PRYMUS,PRYMUS SPÓŁKA AKCYJNA,PRS (PRYMUS)
754,PLASMA-SYSTEM,PLASMA SYSTEM SPÓŁKA AKCYJNA,PSM (PLASMA)
755,PRESTO,PRESTO SPÓŁKA AKCYJNA,PST (PRESTO)
756,PTE,PARCEL TECHNIK SPÓŁKA AKCYJNA,PTE (PARCELTEC)
757,POLTRONIC,POLTRONIC SPÓŁKA AKCYJNA,PTN (POLTRONIC)
758,PTWP,POLSKIE TOWARZYSTWO WSPIERANIA PRZEDSIĘBIORCZOŚCI SPÓŁKA AKCYJNA,PTW (PTWP)
759,PUR,PURE BIOLOGICS SPÓŁKA AKCYJNA,PUR (PURE)
760,PYLON,PYLON SPÓŁKA AKCYJNA,PYL (PYLON)
761,QON,QUARTICON SPÓŁKA AKCYJNA,QON (QUARTICON)
762,QUART-DEVELOPMENT,QUART DEVELOPMENT SPÓŁKA AKCYJNA,QRT (QUART)
763,QUBICGMS,QUBICGAMES SPÓŁKA AKCYJNA,QUB (QUBICGMS)
764,ROBINSON-EUROPE,ROBINSON EUROPE SPÓŁKA AKCYJNA,RBS (ROBINSON)
765,ROCCA,ROCCA SPÓŁKA AKCYJNA,RCA (ROCCA)
766,RUCH-CHORZOW,RUCH CHORZÓW SPÓŁKA AKCYJNA,RCW (RUCHCHORZ)
767,READ-GENE,READ-GENE SPÓŁKA AKCYJNA,RDG (READGENE)
768,REMEDIS,REMEDIS SPÓŁKA AKCYJNA,REM (REMEDIS)
769,ROVITA-SPOLKA,ROVITA SPÓŁKA AKCYJNA,ROV (ROVITA)
770,RSP,REMOR SOLAR POLSKA SPÓŁKA AKCYJNA,RSP (REMORSOL)
771,RSY,RSY SPÓŁKA AKCYJNA,RSY
772,S4E,S4E SPÓŁKA AKCYJNA,S4E
773,SOFTBLUE,SOFTBLUE SPÓŁKA AKCYJNA,SBE (SOFTBLUE)
774,SCP,SCOPE FLUIDICS SPÓŁKA AKCYJNA,SCP (SCPFL)
775,STEM-CELLS-SPIN,STEM CELLS SPIN SPÓŁKA AKCYJNA,SCS (STEMCELLS)
776,SEVENET,SEVENET SPÓŁKA AKCYJNA,SEV (SEVENET)
777,SFD,SFD SPÓŁKA AKCYJNA,SFD
778,POLKAP,SKOCZOWSKA FABRYKA KAPELUSZY POLKAP SPÓŁKA AKCYJNA,SFK (SFKPOLKAP)
779,SFERANET,SFERANET SPÓŁKA AKCYJNA,SFN (SFERANET)
780,SAKANA,SAKANA SPÓŁKA AKCYJNA,SKN (SAKANA)
781,SLK,ŚLĄSKIE KAMIENICE SPÓŁKA AKCYJNA,SLK (SLASKIEKA)
782,SMS-KREDYT-HOLDING,SMS KREDYT HOLDING SPÓŁKA AKCYJNA,SMS (SMSKREDYT)
783,SNG,SYNERGA.FUND SPÓŁKA AKCYJNA,SNG (SYNERGA)
784,SP1,MATRX PHARMACEUTICALS SPÓŁKA AKCYJNA,SP1 (SPAC1)
785,SPARKVC,SPARK VC SPÓŁKA AKCYJNA,SPK (SPARKVC)
786,SURFLAND,SURFLAND SYSTEMY KOMPUTEROWE SPÓŁKA AKCYJNA,SSK (SURFLAND)
787,STANDREW,STANDREW SPÓŁKA AKCYJNA,STD (STANDREW)
788,STOPKLATKA,STOPKLATKA SPÓŁKA AKCYJNA,STK (STOPKLA)
789,STO,STOPPOINT SPÓŁKA AKCYJNA,STO (STOPPOINT)
790,SUMMA-LINGUAE,SUMMA LINGUAE SPÓŁKA AKCYJNA,SUL (SUMMALING)
791,SUNTECH,SUNTECH SPÓŁKA AKCYJNA,SUN (SUNTECH)
792,SYMBIO-POLSKA,SYMBIO POLSKA SPÓŁKA AKCYJNA,SYM (SYMBIO)
793,SZAR,SZAR SPÓŁKA AKCYJNA,SZR (SZAR)
794,TERMO2PWR,TERMO2POWER SPÓŁKA AKCYJNA,T2P (TERMO2PWR)
795,TECHMADEX,TECHMADEX SPÓŁKA AKCYJNA,TDX (TECHMADEX)
796,THD,THE DUST,THD (THEDUST)
797,TECHINVGR,TECH INVEST GROUP SPÓŁKA AKCYJNA,TIG (TECHINVGR)
798,TELGAM,PRZEDSIĘBIORSTWO TELEKOMUNIKACYJNE TELGAM SPÓLKA AKCYJNA,TLG (TELGAM)
799,TLH,TELEHORSE SPÓŁKA AKCYJNA,TLH (TELEHORSE)
800,TELESTO,TELESTO SPÓŁKA AKCYJNA,TLO (TELESTO)
801,TELESTRADA,TELESTRADA SPÓŁKA AKCYJNA,TLS (TELESTR)
802,TELIANI-VALLEY,TELIANI VALLEY POLSKA SPÓŁKA AKCYJNA,TLV (TELIANI)
803,TERMOEXPERT,TERMOEXPERT SPÓŁKA AKCYJNA,TME (TERMOEXP)
804,TELEMEDYCYNA,TELEMEDYCYNA POLSKA SPÓŁKA AKCYJNA,TMP (TELEMEDPL)
805,TAMEX,TAMEX OBIEKTY SPORTOWE SPÓŁKA AKCYJNA,TOS (TAMEX)
806,TAX-NET,TAX-NET SPÓŁKA AKCYJNA,TXN (TAXNET)
807,ARTP-CAPITAL,ARTP CAPITAL SPÓŁKA AKCYJNA,TYP (ARTP)
808,UFC,UNIFIED FACTORY SPÓŁKA AKCYJNA,UFC (UNIFIED)
809,ULG,ULTIMATE GAMES SPÓŁKA AKCYJNA,ULG (ULTGAMES)
810,UNITED,UNITED SPÓŁKA AKCYJNA,UTD (UNITED)
811,VAB,VABUN SPÓŁKA AKCYJNA,VAB (VABUN)
812,VAR,VARSAV GAME STUDIOS SPÓŁKA AKCYJNA,VAR (VARSAV)
813,VENTURE-CAPITAL-POLAND,VENTURE CAPITAL POLAND SPÓŁKA AKCYJNA,VCP
814,VIDIS,VIDIS SPÓŁKA AKCYJNA,VDS (VIDIS)
815,MPL-VERBUM,MPL VERBUM SPÓŁKA AKCYJNA,VER (MPLVERBUM)
816,VIATRON,VIATRON SPÓŁKA AKCYJNA,VIA (VIATRON)
817,VIRTUAL-VISION,EUROINVESTMENT SPÓŁKA AKCYJNA,VIV (VISION)
818,VAKOMTEK,VAKOMTEK SPÓŁKA AKCYJNA,VKT (VAKOMTEK)
819,VOI,VOICETEL COMMUNICATIONS SPÓŁKA AKCYJNA,VOI (VOICETEL)
820,VERBICOM,VERBICOM SPÓŁKA AKCYJNA,VRB (VERBICOM)
821,VTE,VERTE SPÓŁKA AKCYJNA,VTE (VERTE)
822,WDB-BROKERZY-UBEZPIECZENIOWI,WDB BROKERZY UBEZPIECZENIOWI SPÓŁKA AKCYJNA,WDB (WDBBU)
823,WERTH-HOLZ,WERTH-HOLZ SPÓŁKA AKCYJNA,WHH (WERTHHOLZ)
824,WODKAN,WODKAN PRZEDSIĘBIORSTWO WODOCIĄGÓW I KANALIZACJI SPÓŁKA AKCYJNA,WOD (WODKAN)
825,WEST-REAL-ESTATE,WEST REAL ESTATE SPÓŁKA AKCYJNA,WRE (WESTREAL)
826,WIERZYCIEL,WIERZYCIEL SPÓŁKA AKCYJNA,WRL (WIERZYCL)
827,WTF,WOLFS TECHNOLOGY FUND SPÓŁKA AKCYJNA,WTF (WOLFSTF)
828,XPLUS,XPLUS SPÓŁKA AKCYJNA,XPL (XPLUS)
829,NEPTIS,NEPTIS SPÓŁKA AKCYJNA,YAN (NEPTIS)
