,link,name,second
115,EKO-EXPORT,EKO EXPORT SPÓŁKA AKCYJNA,EEX (EKOEXPORT)
116,EFEKT,KORPORACJA GOSPODARCZA EFEKT SPÓŁKA AKCYJNA,EFK (EFEKT)
117,ERGIS-EUROFILMS,ERGIS SPÓŁKA AKCYJNA,EGS (ERGIS)
118,EUROHOLD-BULGARIA,EUROHOLD BULGARIA AD,EHG (EUROHOLD)
119,ELKOP,ELKOP SPÓŁKA AKCYJNA,EKP (ELKOP)
120,ELEKTROBUDOWA,ELEKTROBUDOWA SPÓŁKA AKCYJNA,ELB (ELBUDOWA)
121,ELEKTROTIM,ELEKTROTIM SPÓŁKA AKCYJNA,ELT (ELEKTROTI)
122,ELZAB,ZAKŁADY URZĄDZEŃ KOMPUTEROWYCH ELZAB SPÓŁKA AKCYJNA,ELZ (ELZAB)
123,EMC,EMC INSTYTUT MEDYCZNY SPÓŁKA AKCYJNA,EMC (EMCINSMED)
124,ELEMENTAL-HOLDING,ELEMENTAL HOLDING SPÓLKA AKCYJNA,EMT (ELEMENTAL)
125,ENEA,ENEA SPÓŁKA AKCYJNA,ENA (ENEA)
126,ENEL-MED,CENTRUM MEDYCZNE ENEL-MED SPÓŁKA AKCYJNA,ENE (ENELMED)
127,ENERGA,ENERGA SPÓŁKA AKCYJNA,ENG (ENERGA)
128,ENERGOINSTAL,ENERGOINSTAL SPÓŁKA AKCYJNA,ENI (ENERGOINS)
129,ENERGOAPARATURA,ENERGOAPARATURA SPÓŁKA AKCYJNA,ENP (ENAP)
130,ENT,ENTER AIR SPÓŁKA AKCYJNA,ENT (ENTER)
131,ERBUD,ERBUD SPÓŁKA AKCYJNA,ERB (ERBUD)
132,ERG,ERG SPÓŁKA AKCYJNA,ERG
133,ES-SYSTEM,ES-SYSTEM SPÓŁKA AKCYJNA,ESS (ESSYSTEM)
134,EST,ENEFI ENERGIAHATÉKONYSÁGI NYRT.,EST (ESTAR)
135,EUROTEL,EUROTEL SPÓŁKA AKCYJNA,ETL (EUROTEL)
136,EUROPEJSKIE-CENTRUM-ODSZKODOWAN,EUROPEJSKIE CENTRUM ODSZKODOWAŃ SPÓŁKA AKCYJNA,EUC (EUCO)
137,EUROCASH,EUROCASH SPÓŁKA AKCYJNA,EUR (EUROCASH)
138,EVEREST-INVESTMENTS,EVEREST INVESTMENTS SPÓŁKA AKCYJNA,EVE (EVEREST)
139,FEERUM,FEERUM SPÓŁKA AKCYJNA,FEE (FEERUM)
140,FERRUM,FERRUM SPÓŁKA AKCYJNA,FER (FERRUM)
141,FAST-FINANCE,FAST FINANCE SPÓŁKA AKCYJNA,FFI (FASTFIN)
142,FENGHUA-SOLETECH,FENGHUA SOLETECH AG,FGT (FENGHUA)
143,FAMUR,FAMUR SPÓŁKA AKCYJNA,FMF (FAMUR)
144,FMG,FINANCIAL ASSETS MANAGEMENT GROUP SPÓŁKA AKCYJNA,FMG
145,FON,FON SE,FON
146,FERRO,FERRO SPÓŁKA AKCYJNA,FRO (FERRO)
147,FASING,FABRYKI SPRZĘTU I NARZĘDZI GÓRNICZYCH GRUPA KAPITAŁOWA FASING SPÓŁKA AKCYJNA,FSG (FASING)
148,FORTE,FABRYKI MEBLI FORTE SPÓŁKA AKCYJNA,FTE (FORTE)
149,GBK,GETBACK SPÓŁKA AKCYJNA,GBK (GETBACK)
150,GROCLIN,GROCLIN SPÓŁKA AKCYJNA,GCN (GROCLIN)
151,IMMOBILE,GRUPA KAPITAŁOWA IMMOBILE SPÓŁKA AKCYJNA,GKI (IMMOBILE)
152,GLOBAL-COSMED,GLOBAL COSMED SPÓŁKA AKCYJNA,GLC (GLCOSMED)
153,GETIN-NOBLE-BANK,GETIN NOBLE BANK SPÓŁKA AKCYJNA,GNB (GETINOBLE)
154,GOBARTO,GOBARTO SPÓŁKA AKCYJNA,GOB (GOBARTO)
155,GPR,GLOBALWORTH POLAND REAL ESTATE N.V.,GPR (GPRE)
156,GPW,GIEŁDA PAPIERÓW WARTOŚCIOWYCH W WARSZAWIE SPÓŁKA AKCYJNA,GPW
157,GINO-ROSSI,GINO ROSSI SPÓŁKA AKCYJNA,GRI (GINOROSSI)
158,GRODNO,GRODNO SPÓŁKA AKCYJNA,GRN (GRODNO)
159,GTC,GLOBE TRADE CENTRE SPÓŁKA AKCYJNA,GTC
160,GETIN-HOLDING,GETIN HOLDING SPÓŁKA AKCYJNA,GTN (GETIN)
161,HYDROTOR,PRZEDSIĘBIORSTWO HYDRAULIKI SIŁOWEJ HYDROTOR S.A.,HDR (HYDROTOR)
162,HELIO,HELIO SPÓŁKA AKCYJNA,HEL (HELIO)
163,HOLLYWOOD,HOLLYWOOD SPÓŁKA AKCYJNA,HLD (HOLLYWOOD)
164,HARPER-HYGIENICS,HARPER HYGIENICS SPÓŁKA AKCYJNA,HRP (HARPER)
165,HERKULES,HERKULES SPÓŁKA AKCYJNA,HRS (HERKULES)
166,HUBSTYLE,HUBSTYLE SPÓŁKA AKCYJNA,HUB (HUBSTYLE)
167,HYPERION,HYPERION SPÓŁKA AKCYJNA,HYP (HYPERION)
168,I2D,I2 DEVELOPMENT SPÓŁKA AKCYJNA,I2D (I2DEV)
169,IALBGR,IALBATROS GROUP SPÓŁKA AKCYJNA,IAG (IALBGR)
170,IBSM,IBSM SPÓŁKA AKCYJNA,IBS (IBSM)
171,IDEA-BANK,IDEA BANK SPÓŁKA AKCYJNA,IDA (IDEABANK)
172,IDEON,IDEON SPÓŁKA AKCYJNA,IDE (IDEON)
173,INDYGOTECH-MINERALS,INDYGOTECH MINERALS SPÓŁKA AKCYJNA,IDG (INDYGO)
174,IDM,IDM SPÓŁKA AKCYJNA W UPADŁOŚCI UKŁADOWEJ,IDM (IDMSA)
175,INDATA-SOFTWARE,INDATA SOFTWARE SPÓŁKA AKCYJNA,IDT (INDATA)
176,IFC,INVESTMENT FRIENDS CAPITAL SE,IFC (IFCAPITAL)
177,IFI,IFIRMA SPÓŁKA AKCYJNA,IFI (IFIRMA)
178,IFR,INVESTMENT FRIENDS SE,IFR (IFSA)
179,IIA,IMMOFINANZ AG,IIA (IIAAV)
180,INDUSTRIAL-MILK-COMPANY,INDUSTRIAL MILK COMPANY S.A.,IMC (IMCOMPANY)
181,IMPERA,IMPERA CAPITAL SPÓŁKA AKCYJNA,IMP (IMPERA)
182,IMS,IMS SPÓŁKA AKCYJNA,IMS
183,INC,INC SPÓŁKA AKCYJNA,INC
184,INDYKPOL,INDYKPOL SPÓŁKA AKCYJNA,IND (INDYKPOL)
185,INTERFERIE,INTERFERIE SPÓŁKA AKCYJNA,INF (INTERFERI)
186,ING-BANK-SLASKI,ING BANK ŚLĄSKI SPÓŁKA AKCYJNA,ING (INGBSK)
187,INSTAL-KRAKOW,INSTAL KRAKÓW SPÓŁKA AKCYJNA,INK (INSTALKRK)
188,INTROL,INTROL SPÓŁKA AKCYJNA,INL (INTROL)
189,INPRO,INPRO SPÓŁKA AKCYJNA,INP (INPRO)
190,INVISTA,INVISTA SPÓŁKA AKCYJNA,INV (INVISTA)
191,IPOPEMA,IPOPEMA SECURITIES SPÓŁKA AKCYJNA,IPE (IPOPEMA)
192,INTERNATIONAL-PERSONAL-FINANCE-PLC,INTERNATIONAL PERSONAL FINANCE PUBLIC LIMITED COMPANY,IPF (PROVIDENT)
193,IMPEL,IMPEL SPÓŁKA AKCYJNA,IPL (IMPEL)
194,INTERSPPL,INTERSPORT POLSKA SPÓŁKA AKCYJNA,IPO (INTERSPPL)
195,IPX,IMPEXMETAL SPÓŁKA AKCYJNA,IPX (IMPEXMET)
196,IQ-PARTNERS,IQ PARTNERS SPÓŁKA AKCYJNA,IQP
197,INTER-RAO-LIETUVA,AB INTER RAO LIETUVA,IRL (INTERAOLT)
198,INTERBUD-LUBLIN,INTERBUD-LUBLIN SPÓŁKA AKCYJNA W RESTRUKTURYZACJI,ITB (INTERBUD)
199,ITM,INTERMA TRADE SPÓŁKA AKCYJNA,ITM (ITMTRADE)
200,IZOBLOK,IZOBLOK SPÓŁKA AKCYJNA,IZB (IZOBLOK)
201,IZOLACJA-JAROCIN,IZOLACJA-JAROCIN SPÓŁKA AKCYJNA,IZO (IZOLACJA)
202,IZOSTAL,IZOSTAL SPÓŁKA AKCYJNA,IZS (IZOSTAL)
203,JHM-DEVELOPMENT,JHM DEVELOPMENT SPÓŁKA AKCYJNA,JHM (JHMDEV)
204,JJ-AUTO,JJ AUTO AG,JJO (JJAUTO)
205,JSW-JASTRZEBSKA-SPOLKA-WEGLOWA,JASTRZĘBSKA SPÓŁKA WĘGLOWA SPÓŁKA AKCYJNA,JSW
206,JW-CONSTRUCTION,J. W. CONSTRUCTION HOLDING SPÓŁKA AKCYJNA,JWC (JWCONSTR)
207,JWW-INVEST,JWW INVEST SPÓŁKA AKCYJNA,JWW (JWWINVEST)
208,K2-INTERNET,K2 INTERNET SPÓŁKA AKCYJNA,K2I (K2INTERNT)
209,HENRYK-KANIA,ZAKŁADY MIĘSNE HENRYK KANIA SPÓŁKA AKCYJNA,KAN (KANIA)
210,KBD,KORPORACJA BUDOWLANA DOM SPÓŁKA AKCYJNA,KBD (KBDOM)
211,KRAKCHEMIA,KRAKCHEMIA SPÓŁKA AKCYJNA,KCH (KRAKCHEM)
212,KCI,KCI SPÓŁKA AKCYJNA,KCI
213,KDM-SHIPPING-PUBLIC-LIMITED,KDM SHIPPING PUBLIC LIMITED,KDM (KDMSHIPNG)
214,KERNEL,KERNEL HOLDING S.A.,KER (KERNEL)
215,KGHM,KGHM POLSKA MIEDŹ SPÓŁKA AKCYJNA,KGH (KGHM)
216,KGL,KORPORACJA KGL SPÓŁKA AKCYJNA,KGL
217,KOGENERACJA,ZESPÓŁ ELEKTROCIEPŁOWNI WROCŁAWSKICH KOGENERACJA SPÓŁKA AKCYJNA,KGN (KOGENERA)
218,KOMPAP,PRZEDSIĘBIORSTWO PRODUKCYJNO HANDLOWE KOMPAP SPÓŁKA AKCYJNA,KMP (KOMPAP)
219,KOMPUTRONIK,KOMPUTRONIK SPÓŁKA AKCYJNA,KOM (KOMPUTRON)
220,KPD,KOSZALIŃSKIE PRZEDSIĘBIORSTWO PRZEMYSŁU DRZEWNEGO SPÓŁKA AKCYJNA,KPD (KPPD)
221,KINO-POLSKA-TV,KINO POLSKA TV SPÓŁKA AKCYJNA,KPL (KINOPOL)
222,KRYNICKI-RECYKLING,KRYNICKI RECYKLING SPÓŁKA AKCYJNA,KRC (KREC)
223,KREDYT-INKASO,KREDYT INKASO SPÓŁKA AKCYJNA,KRI (KREDYTIN)
224,KRKA,KRKA. TOVARNA ZDRAVIL. D.D.. NOVO MESTO,KRK (KRKA)
225,KRUK,KRUK SPÓŁKA AKCYJNA,KRU (KRUK)
226,KSG-AGRO,KSG AGRO S.A.,KSG (KSGAGRO)
227,KONSORCJUM-STALI,KONSORCJUM STALI SPÓŁKA AKCYJNA,KST (KONSSTALI)
228,KRUSZWICA,ZAKŁADY TŁUSZCZOWE KRUSZWICA SPÓŁKA AKCYJNA,KSW (KRUSZWICA)
229,KETY,GRUPA KĘTY SPÓŁKA AKCYJNA,KTY (KETY)
230,KVT,KRYNICA VITAMIN SPÓŁKA AKCYJNA,KVT (KRVITAMIN)
